traces, validity
ovtzpwdamwjucbg,0.
uavdorylrhsiogx,0.
yydulahpifstrkw,1.
ydxyystisoqgjcu,1.
uollegtmttzowgl,0.
umokgdhjrakvtif,0.
uhfaslabicisnfn,0.
bkequyezsaiqyyu,1.
uilyooujkkhefuf,1.
ahbyetemcshvsqu,0.
knkwsdqqtqmfhdz,0.
pbhzkqevsxyzbwh,0.
flchzjfiauqwsof,1.
nxisqjvdycbbmrt,1.
kclevytgpcayxev,1.
xwfphodvkdcnmou,0.
noornfbnomlssen,1.
vgcfuyksnzcebwd,1.
lccaoztblkukbab,1.
jysfphnuhlarhag,1.
qdyuyqpfesjkvey,0.
tgtmimcccgyjcga,1.
fkqgdfkfucouowx,0.
bbjlvsscozxsaje,1.
mlvjjqfimblafiy,0.
piwotjxyjytwhwh,0.
kthfxktepbajyzm,1.
oqlovccvxmxfykb,1.
qntybsnemirqzpe,0.
rchnzxptlecusgw,0.
luolkcgcfaqmxov,0.
erfaeilewjqhpds,1.
lrgrdscglwydhvs,0.
cyorjdewlkrqehf,0.
dpxxyufeomxklot,1.
rtxmwthzqnvqvtl,0.
kzlfpytzochxvfq,1.
qtaeaxdmanvnglx,1.
owvgsruqqtejvcs,1.
oavgdksmptglxdj,1.
wcifjdyqlfolfiw,0.
uliyuynwfrtkfzg,0.
jyzzhysjqbcbfsx,0.
hacbnzdnswovhbo,0.
gwhwcjnwlciyknw,0.
biaqqljbismswhj,0.
blcxtffruyqsegi,0.
fuuipbwzyymhcqn,0.
oielmpznmkqceif,1.
sydpglpminwewpt,1.
tdmnbdhpwkzorbv,0.
ghpkgorcrqzmpbh,0.
vetucdesedomnll,0.
wormsdfhldagowy,1.
zbtwjnygbibrpzc,1.
xkdyuknawenrrff,0.
ogmuegwzkeuitpc,1.
wiffywilhtixtuo,1.
nggjhqnfxwykvqh,0.
smytesnlfcqozyc,1.
pfqgporfiypufng,0.
feajwhmuffnyrrw,0.
jjvgbywyhkbocea,0.
asmrimhdesyadli,0.
peknyccwetrfuxo,1.
lvdwufgwnclfymq,1.
iowawojkoagvbgv,0.
jtxebjhbgtuvpwq,0.
zhbvstaztdgkffm,1.
llzjjjzfqugefej,0.
fmwojzytlzdhclv,1.
cgvmpalaamyoowp,1.
qfabiitxiaemrsm,1.
luyoudszkwoyglp,0.
vnexfquutxcidzc,1.
pglpsmgitldnpvf,1.
nbrjkgfzbsbuhgq,1.
mxteytumxvjpnjw,0.
ftnjjwmvkwbxmxp,1.
qecbswvtdqxmngw,1.
wblksyfosfnusrf,0.
wyjfjaeoculibka,1.
crhuzblchjtmqkk,1.
bxpwbxzqqmicttt,0.
fzkfrqewhjzdrlg,0.
nzrwgqcxghdxfog,0.
dwgwbaeootjzopg,1.
jazvvfktcsasfuj,0.
vymkdxlsnulfiok,0.
oifzanwqbgimoql,0.
kqohhnjeqnfzlmc,1.
mniepaeuurmvxzf,1.
bsgezapyylgzrbd,0.
obhfxltfemliijp,0.
hzpswhxozfucoqy,1.
aibrlzawtckdapt,1.
tldidmnhvhkkczh,0.
frtwfhpsauyhynh,0.
goxhzawngedrimm,1.
wgwerusyvizqghx,0.
iyxglkgskyjfklp,0.
pzqavemznhzeifp,1.
vtjcnnxrmqeoxeg,0.
qlpilufbfuuwmbg,0.
nvzmsabenwvamdh,0.
vlkokekkmworukh,0.
chrzoirfryaqmmd,0.
kocnchgunaofmwl,0.
ftgoyqehihrrkaq,0.
lrjxekendhbolwm,0.
ypxszaihptsamvq,1.
svjqahjuejizfgd,0.
pumcasxvwbontkv,0.
qmbskepzzweiyul,1.
xiptezdhfjwjnkm,1.
ajqpfegmgaymofb,1.
yelzbsjjgrdogsr,1.
mvzvqkejxesjwaw,1.
vpnusfwxwulryjr,0.
qzimopfshejyghq,1.
dwysxerkldtmtnv,0.
fzgmzxkixjnjsod,1.
kexxtjsdxjvqifl,1.
xameolywuecjtll,0.
owxtaqwywxjwomd,0.
uacrukznuatxbfp,1.
noarapsgflnwaax,0.
qoffbbqmjwapsbl,0.
zybhtqslfdktgxd,0.
qijovkoawjixfmf,1.
hgxuwvdgsfvotos,0.
kbdlretyceyyflt,1.
rnftiykdaxlwyyl,0.
vgxpfhqmyxlrrwh,0.
tbnnuwlwfleoasj,1.
xrxazkhemjtysvw,0.
idsqueusxcwsupl,0.
iqafnbkfpegrlgp,0.
vehzcosogquwhrb,0.
grwhaiqzrqffdua,0.
ubfcvzlkvwgwuta,1.
tybtrrauanwvjbk,0.
ukklzfaoxttnita,1.
jpyzwfleiymtjsl,0.
voaneypenzlyknb,1.
cznwffjjxcwvebx,0.
aocxvwnruqvxbxh,0.
imzrlkvrdramgaa,0.
yoramzynyyihjfq,1.
uaruhlnpbcduwza,0.
gxyggteqzlhqmwm,1.
zrvjzkhoivypebd,1.
gowabdnyomsbidm,0.
exyiuncbylsbyff,0.
vfzjbqggvaeqatb,1.
uswsjybpbletaaw,1.
qwxroehsxjbsdqi,0.
hozgjbjwajxtate,0.
zgbenoaanyexzsc,1.
yeohjcizcvsgzsr,0.
iaaghrgkxyhggwr,0.
oruxnoonbukrbql,0.
fwpklqocpxqotum,0.
htwwexavzhlwkcc,0.
vlqxkqpeakbpxfm,1.
ccravmztjbwfoll,1.
mxnvmobqgruxalz,1.
iwoqvcyuqotznci,1.
xnmaigyordmqqgh,1.
oxdgwlxtkzyknfc,0.
opvdsrugagggonv,0.
jhjugswuijhahqq,1.
byqdlammyfnaekc,0.
szdzyafdehyxjgz,1.
mguikoomomkuwsa,1.
cynydexgbwqipdr,0.
nsvhlzkkhptzraj,1.
bfawaotvtkmhkwu,0.
vkyhjqqpyqihuaa,1.
zhcrrdbminixyhy,0.
zodxmivogcdmxfi,0.
duzwmbbaksckozf,0.
objosqvotukvbol,0.
fhijqkgybtkpztb,1.
tvecsgyosqzarxk,1.
ojxsgxrsagupbcm,0.
bicejqorhukwlbd,1.
iqudpciqnnlhmiu,0.
cmgpatigzipglao,1.
ytmofyuworhcmbq,0.
hpwjbqreatfzdst,0.
yxfcgxxwyzztsqj,0.
gajkgudogfyiuwx,0.
jypoiidtvjbueta,1.
qzmsitlwlzwnpuy,0.
poumepfaehhkcqk,1.
ihzsppmbnijhpdd,0.
uaqvwoiynynspeh,1.
agxqruqpahntnrz,0.
rakhkkbjtmulsua,0.
nmjfggouxjqaibe,1.
pkeudixfdwuscjn,1.
jhqwfszcczxbadd,0.
ngxeqtaytrouden,1.
xlpnxonztmjengk,0.
neakelaorgpasog,1.
utghlertemifkbr,1.
xysutznvopuapar,1.
xxvizlxtmqbaiue,0.
iluqtetpmusjdcq,0.
rqkaocbfxlassvj,1.
updkmbowicgtzfw,1.
kvjmuoctgnelnix,1.
nzkylmoyhpkmhmp,0.
mvbmiqohkeshgmv,1.
lurgtojyjuqtbjr,0.
qzdasdykpunpwsy,0.
lvfqgtdiylvxsct,0.
niwubvcjxynfqbz,1.
nfrzrwrbmhypjqk,0.
buqslmcslkxaxnr,1.
ibwgxofhyxbgkxx,1.
rtsudggdzvnvfsc,0.
jqdsjcesamyuyfj,1.
hjhnkkmfidppcoy,0.
qsuferhhgejuvdw,1.
migpxkiesumhnpg,0.
opcfbbnzlatfxht,1.
gmwtounyxcdwfbe,0.
gxbjqhpyoqdypzz,0.
jfszkqckoajlcml,0.
wivdkfgcqcgdayf,1.
mgeftxeqezrtfna,0.
hetnwfsykwoqdmo,0.
ulcdbhcshavkoug,0.
bomaxbygaiekthu,1.
jbpbagldrbusynr,1.
sskeliaeofjnlnh,0.
fqjnnwztfinyxcj,0.
iwafmypkqudfkcb,0.
fjbefbocmpzmmcv,1.
ofrtorlqxvxysbb,0.
tqzbrztlmzlouyk,1.
kldbhpkrqmvaobf,0.
ytenlhrjwqvuywq,0.
gsnsyypddxntrzo,0.
uloikrkxxsfprvv,0.
rsaogjbaopraqha,0.
dylqzilxberpuiv,0.
amhxmcehhtqzkyh,1.
imaueybtgydjltr,1.
veyqnkmybjjedze,1.
qmjheichnzaqckh,0.
vkvhtmqtqtbotvh,1.
nvzufputtuvdnfd,1.
cxvukxrmmownvrd,1.
osgzvgqxavfthck,1.
hovrpgwsuipcarn,1.
pynqsxxvcwxphek,1.
byhiwkymmjwimlw,1.
iomvzibqlsbuhsg,1.
jsvejpklhrsnaxf,0.
esyasslhlwrnsoo,0.
pnxvavthjraypbn,0.
vvmbiwbvbqwoirz,0.
etqmpvkmizwiijd,0.
kqlknvbspnltafo,1.
zclxxdjxoprotja,0.
nhzlzrwdbzszqxn,0.
tydnpjmkfujqldb,1.
glclwztctbacfrs,0.
cwsrhcxkaxttaau,0.
wbrcbrumzzoojtd,0.
onmtwjvaifuvkwa,0.
ubdtuosqtdlvriv,0.
yytorfvbmdfxnwa,1.
cqsqtirbmfjdkbr,0.
oijjnzhcjlupxee,1.
gguuhsydrifqbrf,0.
wgkjaicnnsefhuq,1.
acbjxzaqfkhdvax,1.
ljcdqgbgrlvdghx,0.
fbnjymhzgmiqnyg,0.
ifeoyrkqplrkhst,1.
sydncojaarjizjw,1.
haewdcewirioxeh,1.
xdnrlyaxighzmyf,0.
kcwmiddaxgmjtyd,0.
gjexuwjwurogmeh,1.
xzewwlioszruica,0.
xnqdkrerznsfrej,1.
jjdjnkfhzhdsjbc,0.
nubtgdugrwhgslg,1.
lxawkxgwurgxbnj,1.
nifsluznaalqppl,1.
muiayslbsmzaxhl,1.
ymveksujmsvluvn,0.
qyyktilukfphdng,0.
pnpnrkfvbwifegm,0.
cwifbgoupjydgbc,1.
vicvpovxeofjdov,0.
cmirarsqaeibbsg,0.
tmtwzjidhrjsaet,1.
byzfrhhyejoifyi,0.
uxidmaaatyzsahe,0.
oxefgzzkqtdhuha,0.
lthypznjalqjlts,1.
anxhgrheiapsnvz,0.
jzeppqylxhazesn,1.
wkbgfkfaesulcyk,1.
zivujkbpkzcokqn,1.
uxmytzgfhbdwxqu,1.
raqmwrielytomya,0.
jxaupvlpzxbjdhh,0.
ecgwmmmdaiydmzr,0.
pqipmcaywosykel,1.
hkiuimamxkmtnfy,1.
oicxprcpljsrkbu,0.
gaeqzzbkpmflhpy,0.
oannlhbenilwfjf,0.
ivexmqjqcjqlmbt,1.
esxqxttkigofeui,1.
flgrynydxnnjvpm,0.
ifphvwsktfntzqt,0.
mdkuetwiajjmeac,0.
upfgfrupnfjndgz,0.
euysigshugsvtwj,0.
odaajrrwpbjepzb,0.
gonqbcgafpvnqvy,0.
mwuhmdkrrlogwhg,1.
eaztwxuqphqatcs,1.
pxzurovgunjuitx,0.
iqvqulrmpjsfcnh,1.
bzmolyvtmgtbwak,1.
dnvvjezvzzexzqg,0.
lqwbhobwmijdzre,0.
bstxrhbrhpwbumt,0.
jukxhmskddwmmeo,0.
lwpryalipyywtfh,1.
ibmtdhxkefkmfve,0.
riuwulpsrygjkzs,1.
yohvsejuahasqhd,0.
iptssoyodkivyxr,1.
wbqghgfwossgijy,0.
kvtglgpzbxdszwk,1.
cgewggimioqldsa,1.
yvjsskbmxetyemb,1.
mdghfhfzcoebufk,1.
zgxswgjefnhzxxd,0.
vljxrbuzjjfqwfw,1.
vkevwhrlgrrgyid,1.
eaukfiyfbvuxutd,0.
hctgyennnmkvseb,1.
bavoapetssolmxt,1.
sxjbqkouqsvnzau,0.
twpoclyjqijfttd,1.
mfkfmzkjwgwthqy,1.
lvomgnrsxzmqxls,1.
krhyozffhpmzdss,0.
jruijtilasxdgui,0.
nqalpidjuocbhbw,1.
ffjppvidbewvlan,1.
mvsbkwupqmywaqx,0.
afcpcnpmaghhyhz,1.
eiazryujdoigtns,0.
nayhyrykvjpxbqw,1.
wujwflwzyeisfxd,1.
woxvbxggdbpkvqd,0.
xhvablnebsnvdqp,1.
ppswjauwtnztucd,0.
wlexjkpxwhavbel,1.
nxvatzkebrufifv,0.
ojvkkcrnqoolxxl,0.
siqdynsdxlzbbpn,0.
qcdrdxpgfxminww,0.
lzhboobjcpwxyom,1.
jxgiykixteinyqj,1.
kjjaqdxshppckwf,1.
yvxfthvptlvwqsc,0.
ykkbsbfkojuqcuj,1.
orlyaxwulsnqipt,1.
ptnfzfjuarfoqnb,1.
okyofvewgnxjmcf,0.
gkaajrrwwoqecjm,1.
ikwwkypowcmluqd,1.
nqtyzymuvpqjfnp,1.
envficshdgmetik,1.
mozpyrqnjkxjnco,0.
utciyniqcwwkway,0.
xicpxuhnufbeuvb,0.
tldfdadpdbqwtaj,1.
qqaqwvpgzclgdib,1.
zyzdmvvbsondwws,0.
jirhvmzgnkleeia,1.
aywoqkhjnybjalx,1.
uvpfeciblfrddxr,0.
aaisjcachpcqpvs,0.
tntgllooibcmqzw,1.
gxmuoynemwthlcz,0.
zpwmgqixyencbno,1.
dqdwayicseolonh,1.
kqbluwndshbdqpg,1.
viilzidtfyassih,0.
yapnyqcejrdibgh,0.
jlvqxctzcnniyol,0.
kedzfsyqjztrmlc,1.
lwftunoszxbnjym,1.
xiuehcsngznffjl,0.
cmlnakeyodmmhva,1.
kbckpfnxuktcjog,0.
ohipocevdyclxbr,1.
ordglhxnokfvoeg,0.
jqlvdooalpagwxs,1.
uxbzapiijevjxmv,0.
scksuzjugkehgfl,1.
hffhelftdpcyqqp,1.
ocglqkokrtetuin,1.
xvkqmbsqhpnfxmq,0.
qfmpeytswwknfoq,0.
gfkzhsukmzebtxi,0.
ytroebpfgybiwgy,1.
qyiljvesegctzdz,1.
gghczqxylocslwf,0.
qiqlmomfcqyjpwy,0.
gdtspvmwkbjokds,0.
diaabddorhhrtyx,0.
gfphxhpkkifdmfm,0.
gsfgghjquibirmn,0.
tjqhrtpciuogset,1.
xlutvjmiwhltkix,1.
hohitsukfswyvmn,0.
qfmpzhqmuwrhzit,1.
gxkjyaldybzpjzz,0.
bcujtzdunlifbzn,1.
kfojxujwmrxriwx,0.
yrvohbifjojgnfc,1.
cmqqfoyfpvfndnh,0.
ikckytinpfaqqlw,0.
gggwdhmccnqoexr,0.
hgdyhakxlbdtawt,1.
zokghvtggefdqrt,1.
fswtejjglsnxveh,1.
pduieipveaosfft,1.
dlfbtrlwixjduct,1.
mncgomgaldsavtv,0.
tilnliwwtpludsz,0.
bnwtsykdihuwleh,0.
klcejltayhxcfas,1.
utmfqsdnrwgzwnd,1.
dqqxhpkgxrujkem,1.
pdlulxwiqbozorc,1.
ukswtvtauedmkyr,0.
kaglsoskdqnyrnc,1.
aiblwbiboubdtdn,1.
swpteyfdgttzbmc,1.
wwokphbygsnexey,1.
abjevgcjuzqwtap,1.
nszbjjrsnrictuw,1.
ojurrjegmoqgvbj,0.
qvhpimmeaomaldn,0.
ghjghroeqeuiwqf,0.
seyvayhdzvgkwmg,1.
qhqezghwantynex,1.
ibdzpxisorcspjl,0.
neuvkwgywxwblvr,0.
eztswwafiweuagn,1.
oiaqtqenmnuoybx,1.
yujipzybeghpkth,0.
rronhtmrbklyfqa,1.
mcshpjozfvdpclk,1.
whkxfbaybxtfgut,1.
vxawrxbcxzuqkmk,1.
rbaaznefxqjbpjp,1.
silufxrzexrzaxx,0.
zusttqgekrhvhtn,1.
kavjcahvwjdvyvh,0.
wxftxelbfivgqiw,0.
jffakmizmbkmgrx,0.
tmooobpzmumbfwi,0.
yvgdpsizyrlfduw,0.
iwunovwbtgbclxw,0.
viuuackdoztpaqn,1.
vyeafhbtgjcujby,1.
eiugaellzvrjmme,1.
bekmoyelcifxwzq,1.
naigzurvgdgbikr,0.
pfuxjpqgewohqhe,0.
djtgjcliuhvkroc,1.
kdyvnxzhxqsuixt,1.
lkskiynavxexkjq,0.
lrybmdvvmvyjutq,0.
wubmcgichcxcnoi,0.
jbreyhoezqdaahs,0.
fxgikywdhhnblnw,0.
lszzkmsjopppemv,0.
kotvomweyhoesye,0.
epdqhxokwdgogwk,1.
uwoflhbxfehkatw,0.
ajoddqgdszfvdok,1.